 European Union[n 1][9];European Union;18,527,116
1; United States;17,348,075
2; China;10,356,508
3; Japan;4,602,367
4; Germany;3,874,437
5; United Kingdom;2,950,039
6; France;2,833,687
7; Brazil;2,346,583
8; Italy;2,147,744
9; India;2,051,228
10; Russia[n 2];1,860,598
11; Canada;1,785,387
12; Australia;1,442,722
13; South Korea;1,410,383
14; Spain;1,406,538
15; Mexico;1,291,062
16; Indonesia;888,648
17; Netherlands;880,716
18; Turkey;798,332
19; Saudi Arabia;746,248
20;  Switzerland;703,852
21; Nigeria;573,999
22; Sweden;570,591
23; Poland;547,894
24; Argentina;543,061
25; Belgium;534,23
26; Taiwan;529,597
27; Norway;499,817
28; Austria;437,582
29; Iran;416,49
30; Thailand;404,824
31; United Arab Emirates;399,451
32; Colombia;377,867
33; South Africa;350,082
34; Denmark;342,362
35; Malaysia;338,108
36; Singapore;307,872
37; Israel;305,673
; Hong Kong;290,896
38; Egypt;286,435
39; Philippines;284,618
40; Finland;272,649
41; Chile;258,017
42; Ireland;250,814
43; Pakistan;246,849
44; Greece;237,97
45; Portugal;229,948
46; Iraq;223,508
47; Kazakhstan;216,036
48; Algeria;213,518
49; Qatar;210,109
50; Venezuela;206,252
51; Czech Republic;205,27
52; Peru;202,642
53; Romania;199,093
54; New Zealand;197,502
55; Vietnam;185,897
56; Bangladesh;183,824
57; Kuwait;172,608
58; Hungary;136,989
59; Ukraine;130,66
60; Angola;129,326
61; Morocco;110,009
62; Ecuador;100,543
63; Slovak Republic;99,869
64; Oman;77,779
65; Syria[n 3];77,46
66; Belarus;76,139
67; Sri Lanka;74,924
68; Sudan;74,766
69; Azerbaijan;74,145
70; Luxembourg;65,683
71; Dominican Republic;64,058
72; Myanmar;63,135
73; Uzbekistan;62,613
74; Kenya;60,937
75; Guatemala;58,728
76; Uruguay;57,471
77; Croatia;57,073
78; Bulgaria;55,824
79; Ethiopia;54,809
80; Lebanon;50,028
81; Slovenia;49,57
82; Costa Rica;49,553
83; Tunisia;48,633
84; Lithuania;48,288
85; Tanzania;48,089
86; Turkmenistan;47,932
87; Serbia;43,866
88; Panama;43,777
89; Yemen;43,229
90; Libya;41,148
91; Ghana;38,616
92; Democratic Republic of the Congo;35,918
93; Jordan;35,878
94; Bahrain;33,862
95; Côte d'Ivoire;33,741
96; Bolivia;33,237
97; Latvia;31,972
98; Cameroon;31,777
99; Paraguay;30,22
100; Trinidad and Tobago;28,874
101; Uganda;27,616
102; Zambia;26,611
103; Estonia;26,506
104; El Salvador;25,164
105; Cyprus;23,263
106; Afghanistan;20,444
107;   Nepal;19,761
108; Honduras;19,511
109; Gabon;18,209
110; Bosnia and Herzegovina;18,165
111; Brunei Darussalam;17,104
112; Iceland;17,036
113; Papua New Guinea;16,809
114; Mozambique;16,684
115; Cambodia;16,551
116; Georgia;16,536
117; Senegal;15,683
118; Equatorial Guinea;15,53
119; Botswana;15,217
120; South Sudan;14,304
121; Chad;13,945
122; Zimbabwe;13,833
123; Jamaica;13,709
124; Namibia;13,632
125; Republic of Congo;13,552
126; Albania;13,276
127; Mauritius;12,588
128; Burkina Faso;12,503
129; Mali;12,094
130; Mongolia;12,037
131; Nicaragua;11,806
132; Laos;11,681
133; Armenia;11,644
134; Macedonia;11,342
135; Madagascar;10,674
136; Malta;10,514
137; Tajikistan;9,242
138; Haiti;8,711
139; Benin;8,685
140; Bahamas;8,511
141; Niger;8,024
142; Moldova;7,962
143; Rwanda;7,897
144; Kyrgyz Republic;7,402
145; Kosovo;7,319
146; Guinea;6,707
147; Malawi;6,055
148; Suriname;5,21
149; Mauritania;5,081
150; Timor-Leste;4,97
151; Sierra Leone;4,815
152; Togo;4,594
153; Montenegro;4,551
154; Swaziland;4,416
155; Barbados;4,354
156; Fiji;4,289
157; Eritrea;3,858
158; Burundi;3,094
159; Guyana;3,059
160; Maldives;2,885
161; Lesotho;2,22
162; Liberia;2,013
163; Bhutan;1,983
164; Cabo Verde;1,858
165; San Marino;1,786
166; Central African Republic;1,726
167; Belize;1,699
168; Djibouti;1,589
169; Seychelles;1,423
170; St. Lucia;1,404
171; Antigua and Barbuda;1,248
172; Solomon Islands;1,155
173; Guinea-Bissau;1,111
174; Grenada;912
175; St. Kitts and Nevis;852
176; Samoa;827
177; The Gambia;824
178; Vanuatu;822
179; St. Vincent and the Grenadines;729
180; Comoros;697
181; Dominica;524
182; Tonga;438
183; São Tomé and Príncipe;338
184; Micronesia;308
185; Palau;249
186; Marshall Islands;193
187; Kiribati;181
188; Tuvalu;38
